ID;Usia;Jenis_Kelamin;Status_Pernikahan;Pendidikan;Jumlah_Anak;Wilayah;Jenis_Pekerjaan;Lama_Bekerja_Tahun;Pendapatan_Bulanan;Pengeluaran_Bulanan;Nilai_Aset;Hutang_Existing;Kepemilikan_Rumah;Riwayat_Kredit;Skor_Kesehatan_Keuangan;Jumlah_Rekening;Tujuan_Pinjaman;Jumlah_Pinjaman;Tenor_Bulan;Layak_Kredit
35;49;Perempuan;Lajang;D3;2;Jawa;Swasta;33;14937302;4678680;486560555;148693853;Milik Sendiri;Cukup;690;4;Modal Usaha;35674923;84;Layak
36;46;Perempuan;Lajang;SMP;2;Jawa;Wirausaha;26;2986970;1357046;247709732;28040107;Sewa;Cukup;702;4;Kesehatan;32186564;84;Tidak Layak
37;41;Laki-laki;Lajang;S1;1;Sulawesi;Swasta;21;;5848178;645289496;58871675;Milik Sendiri;Buruk;574;3;Renovasi Rumah;100051528;48;Layak
38;32;Perempuan;Menikah;SD;5;Jawa;Swasta;23;13997641;5603153;514552264;42806745;Kontrak;Baik;762;1;Investasi;81717033;84;Layak
39;56;Laki-laki;Menikah;S1;2;Bali;Swasta;10;10175765;6771113;666086129;26782647;Menumpang;Buruk;485;3;Pendidikan;86763233;12;Layak
40;60;Perempuan;Lajang;S1;3;Jawa;Swasta;11;11998946;11340028;548775727;22635873;Milik Sendiri;Baik;485;2;Konsumtif;70120030;24;Layak
41;56;Laki-laki;Menikah;SMP;3;Sumatera;Freelance;11;17068082;5179780;434613892;129761530;Sewa;Buruk;408;3;Renovasi Rumah;179560669;24;Tidak Layak
42;26;Perempuan;Menikah;SD;5;Jawa;Wirausaha;6;10190062;9789898;771318364;41349799;Milik Sendiri;Baik;467;5;Renovasi Rumah;150437610;12;Layak
43;48;Laki-laki;Lajang;SMP;2;Sumatera;Swasta;5;8188132;8112676;409712772;7584461;Sewa;Baik;827;5;Modal Usaha;131119132;12;Layak
44;20;Perempuan;Menikah;SD;1;Jawa;Wirausaha;33;13064934;15132566;496560723;;Milik Sendiri;Tidak Ada Riwayat;582;5;Pendidikan;40280863;48;Layak
45;41;Perempuan;Menikah;SMA;4;Jawa;Wirausaha;27;6361267;4280287;76096756;61450828;Menumpang;Buruk;532;5;Konsumtif;27483711;60;Tidak Layak
46;21;Perempuan;Menikah;S1;1;Jawa;Swasta;30;5673207;1890446;173444926;143637270;Milik Sendiri;Baik;540;1;Modal Usaha;83604302;60;Layak
47;33;Laki-laki;Lajang;S1;1;Bali;PNS;10;4081281;4223534;441930934;144972332;Milik Sendiri;Tidak Ada Riwayat;634;5;Investasi;128329882;24;Tidak Layak
48;63;Perempuan;Menikah;S1;5;Sulawesi;PNS;29;12445219;9505552;58502884;83589495;Milik Sendiri;Baik;501;5;Renovasi Rumah;80841499;60;Layak
49;64;Perempuan;Menikah;SMA;3;Sulawesi;Tidak Bekerja;;14811;500000;694719193;120084963;Milik Sendiri;Baik;387;4;Kesehatan;188305594;12;Layak
50;18;Perempuan;Lajang;S1;1;Sumatera;Freelance;16;10526612;12327406;458322696;55389296;Kontrak;Baik;699;1;Pendidikan;82083701;24;Layak
51;30;Laki-laki;Lajang;SMA;3;Sumatera;Swasta;32;15380147;6839499;122346453;6947887;Menumpang;Cukup;400;4;Modal Usaha;64846793;84;Layak
52;41;Perempuan;Menikah;S1;2;Sumatera;Wirausaha;2;3775971;3554557;127133013;117699338;Sewa;Baik;690;3;Renovasi Rumah;46286230;60;Layak
53;55;Perempuan;Menikah;S1;2;Sulawesi;Wirausaha;9;11261187;13082029;566744855;133661366;Milik Sendiri;Cukup;813;1;Modal Usaha;21150186;60;Layak
54;60;Laki-laki;Lajang;SMA;1;Sumatera;Wirausaha;10;2391307;893010;149243856;110052316;Sewa;Buruk;587;2;Renovasi Rumah;47568156;24;Tidak Layak
55;27;Perempuan;Lajang;S1;3;Sumatera;Wirausaha;18;8863308;4589897;51802591;1164950;Sewa;Cukup;610;4;Renovasi Rumah;192469479;24;Layak
56;61;Laki-laki;Menikah;SMA;0;Sumatera;Swasta;22;;6993116;396001897;124452489;Sewa;Cukup;840;1;Modal Usaha;36433218;24;Layak
57;55;Laki-laki;Lajang;S1;4;NTT/NTB;Swasta;32;10913716;6584166;585303013;90528826;Sewa;Baik;495;4;Renovasi Rumah;8552522;12;Layak
58;62;Laki-laki;Lajang;S1;2;Kalimantan;Swasta;8;14617952;6072067;21225910;80803873;Milik Sendiri;Cukup;497;4;Renovasi Rumah;85079645;48;Tidak Layak
59;18;Laki-laki;Menikah;S1;4;Jawa;Wirausaha;31;16768581;10243477;607868687;139459559;Milik Sendiri;Buruk;792;4;Konsumtif;107481672;36;Layak
60;58;Laki-laki;Menikah;SMA;5;jawa;Wirausaha;9;12177622;9410742;114759807;105537854;Sewa;Baik;648;3;Kesehatan;89305018;84;Layak
61;37;Perempuan;Menikah;S1;4;Kalimantan;Swasta;11;3661773;3947331;633785536;81085802;Sewa;Buruk;652;3;Konsumtif;180968388;12;Tidak Layak
62;51;Laki-laki;Lajang;SMA;5;Kalimantan;Tidak Bekerja;0;469963;500000;660549172;47338282;Sewa;Buruk;830;1;Investasi;57665916;12;Tidak Layak
63;33;Perempuan;Lajang;S1;5;Jawa;PNS;16;13572036;4605958;148091458;53668984;Milik Sendiri;Cukup;776;5;Pendidikan;198184297;12;Layak
64;53;Perempuan;Menikah;D3;5;Sumatera;Tidak Bekerja;;;500000;114102364;56183281;Sewa;Baik;724;2;Kesehatan;58381822;48;Tidak Layak
65;53;Laki-laki;Menikah;S1;3;Sumatera;Swasta;18;17219811;16969042;70307052;52145592;Milik Sendiri;Baik;751;3;Pendidikan;90967659;36;Layak
66;24;Perempuan;Menikah;SMA;4;Jawa;Wirausaha;13;8270158;8326388;600482555;57196035;Milik Sendiri;Baik;607;2;Modal Usaha;22597189;84;Layak
67;54;Laki-laki;Lajang;S1;3;Jawa;Swasta;2;3928999;1620362;724049969;115484935;Milik Sendiri;Baik;415;2;Renovasi Rumah;160993334;36;Layak
68;57;Laki-laki;Lajang;SMA;3;Sulawesi;Swasta;33;7160780;8067931;676254861;33773695;Sewa;Buruk;553;1;Modal Usaha;92620253;24;Tidak Layak
69;45;Laki-laki;Lajang;SMA;1;Bali;Tidak Bekerja;0;464899;500000;348683338;125518064;Milik Sendiri;Buruk;314;5;Modal Usaha;14985124;60;Tidak Layak
70;20;Laki-laki;Menikah;S1;2;Jawa;Swasta;26;9272197;6535166;600617687;97107776;Menumpang;Cukup;390;4;Renovasi Rumah;132711278;84;Layak
71;23;Laki-laki;Menikah;D3;2;Bali;Swasta;28;10841962;3400407;325494504;85859790;Menumpang;Baik;609;3;Pendidikan;95810748;24;Layak
72;45;Perempuan;Menikah;SMA;0;Jawa;Wirausaha;12;;10069412;20336086;117470982;Milik Sendiri;Buruk;582;5;Kesehatan;156579495;12;Tidak Layak
73;27;Perempuan;Menikah;SMA;5;Sumatera;Wirausaha;21;12566773;9266731;203828532;40332100;Milik Sendiri;Baik;522;3;Renovasi Rumah;187850721;24;Layak
74;61;Perempuan;Menikah;D3;5;Sumatera;Wirausaha;10;5090453;5627943;30954286;123329792;Milik Sendiri;Buruk;636;5;Konsumtif;137902968;12;Tidak Layak
75;26;Laki-laki;Menikah;SMP;2;Jawa;Swasta;30;6891284;6497818;317436783;80497031;Sewa;Cukup;449;1;Investasi;97279977;24;Tidak Layak
76;59;Laki-laki;Menikah;S2;0;Jawa;Swasta;22;15079818;6510881;413434457;91684501;Milik Sendiri;Buruk;720;2;Modal Usaha;46318424;36;Layak
77;21;Perempuan;Menikah;SMA;2;Jawa;Swasta;33;10887757;12626980;556819287;48332609;Milik Sendiri;Buruk;610;4;Modal Usaha;102607690;84;Layak
78;58;Laki-laki;Duda/Janda;S1;3;Kalimantan;Swasta;5;11159211;12759789;480736006;20885099;Sewa;Baik;330;2;Kesehatan;26289121;24;Layak
79;51;Perempuan;Menikah;SMA;3;Jawa;PNS;13;12134071;6497957;741423665;126056900;Milik Sendiri;Cukup;726;5;Kesehatan;156717000;84;Layak
80;30;Perempuan;Duda/Janda;D3;2;Sumatera;Swasta;4;5790614;4362891;;45355471;Kontrak;Baik;351;5;Modal Usaha;139013121;12;Layak
81;43;Perempuan;Menikah;SMA;3;Kalimantan;Wirausaha;21;11453970;4607600;487022115;63141188;Sewa;Baik;731;2;Modal Usaha;157996038;84;Layak
82;62;L;Menikah;S1;0;Jawa;Swasta;20;14665938;13631210;654307349;139228907;Sewa;Tidak Ada Riwayat;495;1;Modal Usaha;157918423;60;Layak
83;36;Laki-laki;Lajang;S1;0;Jawa;Swasta;31;17652769;17977738;697017717;;Sewa;Tidak Ada Riwayat;730;2;Renovasi Rumah;5264627;12;Layak
84;61;Perempuan;Lajang;SD;5;Kalimantan;Swasta;6;17266780;17866391;;113908555;Sewa;Buruk;667;1;Modal Usaha;21860128;60;Layak
85;56;Laki-laki;Lajang;SMA;5;Sulawesi;Swasta;8;14968484;17287941;384486520;35753040;Menumpang;Cukup;360;5;Modal Usaha;166480237;60;Layak
86;22;Laki-laki;Menikah;SD;0;Sumatera;PNS;13;13071827;15347486;745205851;148275670;Milik Sendiri;Baik;789;4;Modal Usaha;23339200;84;Layak
87;22;Laki-laki;Duda/Janda;D3;0;Jawa;Swasta;18;15014451;5983094;453164205;73570393;Sewa;Cukup;687;5;Modal Usaha;17100499;24;Layak
88;31;Perempuan;Menikah;D3;5;Sumatera;Wirausaha;27;12889017;7032734;378206831;8957129;Milik Sendiri;Cukup;819;2;Investasi;146127370;24;Layak
89;31;Laki-laki;Lajang;SMA;3;Jawa;Swasta;28;16017377;11331166;297663740;109155740;Sewa;Baik;519;1;Modal Usaha;44216197;12;Layak
90;34;Laki-laki;Lajang;D3;0;Sumatera;PNS;18;13938660;8750810;312727819;63437040;Milik Sendiri;Buruk;421;2;Pendidikan;178115733;12;Tidak Layak
91;39;Perempuan;Duda/Janda;SMA;4;Jawa;Freelance;19;9641855;8144520;220445982;129896836;Milik Sendiri;Cukup;795;3;Renovasi Rumah;56588064;24;Tidak Layak
92;18;Perempuan;Lajang;D3;2;Jawa;Wirausaha;25;9180304;8621438;;12995121;Milik Sendiri;Baik;777;1;Renovasi Rumah;89687064;36;Layak
93;26;Laki-laki;Menikah;S1;4;Jawa;PNS;6;12361394;6529676;567762907;31179061;Sewa;Cukup;434;4;Modal Usaha;136358545;36;Layak
94;42;Perempuan;Lajang;SMA;0;Jawa;PNS;12;7926926;5041899;679351327;;Sewa;Tidak Ada Riwayat;813;1;Modal Usaha;92250981;36;Tidak Layak
95;22;Laki-laki;Menikah;S1;4;Jawa;Wirausaha;20;5262204;4470041;697008135;140336335;Sewa;Baik;403;1;Pendidikan;52146421;60;Layak
96;36;Laki-laki;Menikah;SMA;2;Bali;Freelance;11;;3607199;389113215;24943745;Menumpang;Baik;457;2;Kesehatan;191604537;48;Layak
97;24;Laki-laki;Lajang;SMA;0;Jawa;PNS;5;14589620;14035506;719801035;101467588;Milik Sendiri;Baik;532;1;Modal Usaha;141200972;48;Layak
98;42;Perempuan;Duda/Janda;SMA;4;Jawa;Tidak Bekerja;0;230284;500000;24503935;104775664;Kontrak;Cukup;628;1;Kesehatan;155488208;48;Tidak Layak
99;22;Perempuan;Menikah;S1;4;Jawa;PNS;8;9475856;8707637;336572775;26221841;Milik Sendiri;Baik;734;3;Modal Usaha;76090336;84;Layak
100;58;Laki-laki;Menikah;S1;0;Sumatera;Wirausaha;21;12043222;13392420;634224762;33619916;Sewa;Buruk;332;2;Investasi;53089980;84;Layak
101;64;Laki-laki;Lajang;SMA;2;Sumatera;Wirausaha;13;5258514;2446940;443119186;92911153;Milik Sendiri;Cukup;566;2;Modal Usaha;40577595;60;Tidak Layak
102;58;Laki-laki;Menikah;S1;2;Bali;Freelance;2;11543565;12348105;215467849;140519070;Milik Sendiri;Cukup;448;3;Konsumtif;175882903;24;Tidak Layak
103;47;Laki-laki;Lajang;SMA;4;Bali;Wirausaha;29;7182330;6605274;64924698;9023413;Kontrak;Buruk;838;1;Konsumtif;35003387;24;Tidak Layak
104;30;Perempuan;Menikah;SD;1;Jawa;PNS;13;8891621;3448089;590281365;94066050;Milik Sendiri;Baik;391;4;Modal Usaha;109011637;12;Layak
105;49;Laki-laki;Duda/Janda;D3;3;Jawa;Wirausaha;32;11205717;10186156;434781158;131018445;Kontrak;Cukup;796;5;Modal Usaha;54395486;12;Layak
106;47;Laki-laki;Menikah;SMA;3;Sumatera;Freelance;7;4881815;3773867;24459653;1706486;Milik Sendiri;Baik;836;5;Modal Usaha;11505071;12;Layak
107;46;Laki-laki;Menikah;SMP;5;Jawa;Wirausaha;32;12142303;10532324;160293538;148967992;Kontrak;Buruk;575;4;Investasi;147817162;24;Tidak Layak
108;64;Perempuan;Duda/Janda;SMA;4;Jawa;PNS;32;12679681;13621705;311649265;148304776;Milik Sendiri;Baik;675;4;Modal Usaha;59095029;12;Layak
109;57;Perempuan;Lajang;SMA;0;Sumatera;PNS;32;5899853;5882598;18271006;96284985;Milik Sendiri;Cukup;;1;Pendidikan;118041008;60;Tidak Layak
110;43;Laki-laki;Cerai;SMA;3;Sumatera;Swasta;26;17958523;16579766;669569533;1361619;Menumpang;Baik;306;5;Pendidikan;178879407;84;Layak
111;29;Perempuan;Menikah;SMA;4;Bali;Swasta;7;11463768;10691404;48176770;14717227;Milik Sendiri;Tidak Ada Riwayat;339;4;Modal Usaha;197086564;48;Tidak Layak
112;42;Perempuan;Menikah;D3;3;Jawa;Swasta;8;16575535;5010637;505850289;86861911;Milik Sendiri;Baik;;5;Renovasi Rumah;22033174;24;Layak
113;32;Laki-laki;Menikah;SMA;5;Sumatera;Swasta;26;2149678;921884;599791169;61695501;Sewa;Baik;542;2;Modal Usaha;166924903;48;Layak
114;62;Laki-laki;Menikah;D3;2;Sulawesi;Wirausaha;1;6677257;6994973;14358239;147121832;Milik Sendiri;Baik;534;5;Modal Usaha;196954380;60;Layak
115;45;Perempuan;Lajang;D3;1;Jawa;PNS;11;1665078874;2468874;56049022;35351726;Milik Sendiri;Buruk;712;5;Renovasi Rumah;67710160;36;Layak
116;63;Perempuan;Menikah;S1;0;Sumatera;Swasta;23;8347972;8727927;161125967;82150236;Milik Sendiri;Baik;632;1;Renovasi Rumah;104831700;48;Layak
117;56;Perempuan;Menikah;D3;0;Kalimantan;Swasta;21;14530643;16598625;82886727;120659179;Milik Sendiri;Cukup;607;1;Kesehatan;49073766;36;Tidak Layak
118;53;Laki-laki;Menikah;S1;2;Bali;PNS;23;13036739;6218721;755343826;48733464;Milik Sendiri;Baik;586;2;Modal Usaha;44256676;60;Layak
119;47;Perempuan;Lajang;SMA;3;Jawa;Wirausaha;7;12855466;9890810;;35764815;Milik Sendiri;Buruk;316;2;Investasi;116911638;24;Layak
120;26;Laki-laki;Menikah;SMA;0;Sumatera;PNS;24;11278619;7338535;606252273;118615307;Sewa;Cukup;618;3;Kesehatan;38308791;60;Layak
121;23;Laki-laki;Menikah;SMA;5;Jawa;Freelance;10;12838961;9022368;684330762;857762;Sewa;Cukup;693;5;Modal Usaha;132513145;24;Layak
122;40;Perempuan;Menikah;SMA;5;Sumatera;Swasta;24;17245678;8523185;271281431;143046645;Milik Sendiri;Baik;813;5;Modal Usaha;9735417;60;Layak
123;30;Perempuan;Menikah;S1;4;Sulawesi;Swasta;11;10359995;3751495;519347727;71305843;Menumpang;Baik;420;1;Pendidikan;37322149;36;Layak
124;31;Laki-laki;Menikah;S2;3;Jawa;Freelance;30;10562557;9729748;775091253;102924483;Kontrak;Baik;363;4;Renovasi Rumah;86720144;12;Layak
125;28;Perempuan;Menikah;S2;2;Kalimantan;Wirausaha;29;11463254;11827729;171951701;31515454;Milik Sendiri;Cukup;;2;Konsumtif;98272443;60;Layak
126;23;Perempuan;Menikah;SMA;5;Sumatera;Swasta;28;17548842;9898609;654959770;132050685;Sewa;Baik;458;2;Modal Usaha;104468210;12;Layak
127;60;Perempuan;Lajang;SD;4;Jawa;PNS;6;8496303;9408097;569685934;102029866;Sewa;Cukup;750;3;Modal Usaha;143449907;48;Layak
128;49;Laki-laki;Lajang;SD;0;Kalimantan;Swasta;31;14996268;15732367;351358061;119563539;Milik Sendiri;Buruk;457;1;Modal Usaha;89356531;60;Tidak Layak
129;52;Perempuan;Menikah;SMA;2;Sulawesi;Swasta;4;5445905;4864828;421830316;123045478;Menumpang;Buruk;542;4;Modal Usaha;145028839;24;Tidak Layak
130;30;Laki-laki;Lajang;D3;1;jawa;Wirausaha;33;15845824;14669069;281837697;9285418;Milik Sendiri;Baik;306;2;Kesehatan;93250965;24;Layak
131;44;Perempuan;Menikah;S1;3;Sulawesi;Swasta;9;6715466;4596288;722730240;104907275;Milik Sendiri;Baik;790;5;Modal Usaha;42927782;84;Layak
132;53;Perempuan;Lajang;D3;2;Jawa;Swasta;17;14804993;10994752;727704281;47660839;Sewa;Baik;;3;Kesehatan;99014556;24;Layak
133;46;Laki-laki;Lajang;SMA;5;Sumatera;Wirausaha;23;4568229;1540384;380477179;94710144;Milik Sendiri;Baik;449;5;Modal Usaha;163472083;24;Layak
134;32;Laki-laki;Menikah;SMP;1;Sumatera;Swasta;21;14282301;7191720;559764176;73315418;Sewa;Buruk;677;1;Renovasi Rumah;189673507;24;Layak
135;45;Laki-laki;Menikah;SMP;0;Sumatera;Swasta;22;17965900;13210053;213361149;111323396;Milik Sendiri;Baik;553;2;Renovasi Rumah;17546265;84;Layak
136;38;Perempuan;Menikah;SMP;5;Sumatera;PNS;31;8271167;9122646;47419040;46139348;Milik Sendiri;Baik;345;2;Modal Usaha;93485811;24;Layak
137;27;Laki-laki;Lajang;S1;0;Sumatera;Wirausaha;23;14397296;8402292;229432265;123120786;Milik Sendiri;Buruk;404;2;Renovasi Rumah;170991073;24;Tidak Layak
138;59;Laki-laki;Menikah;SMP;1;Sumatera;Wirausaha;10;4001284;3141168;697578930;262526;Kontrak;Baik;490;1;Modal Usaha;64172814;12;Layak
139;27;Perempuan;Lajang;S1;3;Sulawesi;Swasta;30;17900936;20166412;217230713;48192536;Kontrak;Buruk;833;5;Investasi;21943957;48;Layak
140;60;Laki-laki;Cerai;SMP;1;Sumatera;Wirausaha;33;14651649;12502154;323815743;63509464;Kontrak;Baik;514;3;Konsumtif;127916777;60;Layak
141;29;Laki-laki;Menikah;S1;0;Jawa;Swasta;12;2232165;2068749;458711235;140056292;Kontrak;Buruk;818;5;Pendidikan;105680206;24;Tidak Layak
142;56;Laki-laki;Lajang;SMA;5;Sumatera;Swasta;11;9163161;4225675;341754206;74338663;Sewa;Baik;326;5;Investasi;178809492;12;Layak
143;47;Laki-laki;Menikah;S1;3;Kalimantan;Tidak Bekerja;;341213;500000;90429008;100005200;Milik Sendiri;Baik;687;3;Renovasi Rumah;24582323;12;Tidak Layak
144;52;Perempuan;Cerai;S1;3;JAWA;Swasta;9;12058838;5560579;60602144;54851832;Milik Sendiri;Buruk;809;2;Pendidikan;164588509;84;Tidak Layak
145;46;Perempuan;Menikah;S1;2;Jawa;Freelance;21;10543731;7075008;400171168;109203381;Kontrak;Baik;484;2;Renovasi Rumah;171587845;12;Layak
146;63;Perempuan;Menikah;SMA;3;Jawa;Swasta;21;5133161;4047109;40798811;117169131;Milik Sendiri;Baik;430;1;Renovasi Rumah;15322542;24;Tidak Layak
147;48;Laki-laki;Menikah;S2;1;Jawa;Swasta;17;15409127;4727930;315609241;65880316;Sewa;Cukup;806;4;Modal Usaha;180194145;60;Layak
148;49;Laki-laki;Cerai;SMA;5;Sumatera;Wirausaha;13;14418477;13783090;248659555;109069203;Milik Sendiri;Cukup;785;3;Modal Usaha;44688957;60;Layak
149;27;Perempuan;Menikah;SMA;0;Kalimantan;Wirausaha;4;4966722;3277083;669992498;104379767;Sewa;Cukup;588;2;Investasi;115311990;12;Layak
150;29;Laki-laki;Lajang;D3;0;Kalimantan;PNS;27;13938554;7129487;646838579;8366047;Sewa;Buruk;819;2;Pendidikan;191766839;24;Layak
151;30;Perempuan;Menikah;S1;2;Jawa;Wirausaha;14;2822638;2855514;736520882;112832224;Sewa;Baik;536;4;Konsumtif;188478028;60;Layak
152;45;Perempuan;Lajang;S1;0;Sulawesi;Tidak Bekerja;0;;500000;607817441;22899363;Milik Sendiri;Buruk;809;5;Renovasi Rumah;159956171;12;Tidak Layak
153;37;Laki-laki;Menikah;S2;5;Jawa;Wirausaha;15;13743250;9276665;645819801;94791539;Milik Sendiri;Buruk;763;1;Pendidikan;158909377;36;Layak
154;49;Laki-laki;Menikah;S1;3;Bali;Swasta;3;15601462;15100320;266889351;100826414;Kontrak;Cukup;565;1;Modal Usaha;99774025;12;Layak
155;59;Laki-laki;Menikah;S2;0;Jawa;PNS;23;4872980;2803064;457478543;119925135;Milik Sendiri;Cukup;433;4;Konsumtif;196339600;24;Tidak Layak
156;64;laki-laki;Lajang;S1;2;Sumatera;PNS;13;8050276;3343635;261557967;78086239;Sewa;Baik;478;2;Modal Usaha;33507522;60;Layak
157;29;Laki-laki;Cerai;S1;4;Jawa;Swasta;2;15255635;12276305;408721260;46692389;Kontrak;Baik;808;2;Konsumtif;176493757;48;Layak
158;42;Laki-laki;Menikah;SMP;3;Kalimantan;Tidak Bekerja;0;332973;500000;730101973;64027494;Kontrak;Baik;339;4;Kesehatan;47931509;12;Layak
159;63;Laki-laki;Cerai;D3;5;Sumatera;Wirausaha;18;5553622;6487293;190406275;106582739;Kontrak;Cukup;615;1;Konsumtif;133246755;84;Tidak Layak
